country,min,max,region
Angola,2010,2014,Sub-Saharan Africa
Benin,1960,1962,Sub-Saharan Africa
Benin,1964,1965,Sub-Saharan Africa
Benin,1968,1969,Sub-Saharan Africa
Benin,1990,2014,Sub-Saharan Africa
Brazil,1946,1964,Latin America & the Caribbean
Brazil,1967,1968,Latin America & the Caribbean
Burkina Faso,1960,1965,Sub-Saharan Africa
Burkina Faso,1970,1973,Sub-Saharan Africa
Cape Verde,1992,1998,Sub-Saharan Africa
Central African Republic,1959,1963,Sub-Saharan Africa
Central African Republic,2016,2018,Sub-Saharan Africa
Chad,1960,1974,Sub-Saharan Africa
Chile,1980,2014,Latin America & the Caribbean
Congo,1961,1962,Sub-Saharan Africa
Costa Rica,1949,2014,Latin America & the Caribbean
Cote d'Ivoire,1960,1998,Sub-Saharan Africa
Cote d'Ivoire,2000,2014,Sub-Saharan Africa
Democratic Republic of the Congo,1967,1977,Sub-Saharan Africa
Dominican Republic,1929,1933,Latin America & the Caribbean
Dominican Republic,1955,1962,Latin America & the Caribbean
Ecuador,1906,1934,Latin America & the Caribbean
Ecuador,1945,1969,Latin America & the Caribbean
Ecuador,1997,1998,Latin America & the Caribbean
Egypt,2007,2010,Middle East & North Africa
Egypt,2012,2013,Middle East & North Africa
Egypt,2014,2015,Middle East & North Africa
El Salvador,1939,1944,Latin America & the Caribbean
El Salvador,1950,1960,Latin America & the Caribbean
El Salvador,1983,2014,Latin America & the Caribbean
Gabon,1960,1961,Sub-Saharan Africa
Gabon,1975,2014,Sub-Saharan Africa
Germany,1871,1918,"Western Europe, United States & Canada"
Germany,1949,2014,"Western Europe, United States & Canada"
Guatemala,1845,1850,Latin America & the Caribbean
Guinea,2010,2014,Latin America & the Caribbean
Haiti,1983,1986,Latin America & the Caribbean
Honduras,1924,1935,Latin America & the Caribbean
Mali,1960,1967,Sub-Saharan Africa
Mali,1974,2014,Sub-Saharan Africa
Mauritania,1961,1979,Sub-Saharan Africa
Mauritania,1991,2014,Sub-Saharan Africa
Nicaragua,1905,1910,Latin America & the Caribbean
Nicaragua,1939,1947,Latin America & the Caribbean
Nicaragua,1950,1973,Latin America & the Caribbean
Nicaragua,1987,2014,Latin America & the Caribbean
Niger,1964,1973,Sub-Saharan Africa
Niger,1989,1990,Sub-Saharan Africa
Niger,1996,2009,Sub-Saharan Africa
Pakistan,1956,1957,South Asia
Panama,1983,2014,Latin America & the Caribbean
Peru,1979,2014,Latin America & the Caribbean
Portugal,1822,1823,"Western Europe, United States & Canada"
Rwanda,1962,1994,Sub-Saharan Africa
Spain,1845,1860,"Western Europe, United States & Canada"
Sudan,1973,1984,Sub-Saharan Africa
Switzerland,1999,2014,"Western Europe, United States & Canada"
Ukraine,1996,2014,Eastern Europe